ComponentID:,Y
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21
1,0.0071919639999999995,0.003466410861381553,-0.935410833780014,<122>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.770010483766908,<456>
2,0.2016704,0.028842280836300038,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<556>,0.9658059419096657,<656>,0.905015725650362,<555>,0.5742150256241503,<544>
3,-0.2541051999999999,0.027212248142334732,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.7396153756372562,<223>
4,-0.11125924,0.004536573449466016,0.3320670166797724,<643>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<212>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.13627155853701473,<344>
5,-0.00199880308,0.0036776748459638017,0.6046101337538021,<644>,0.13627155853701473,<443>,-0.935410833780014,<221>,-0.7700104837669081,<123>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.13627155853701495,<334>
6,-0.027666200000000002,0.01215753292078619,0.4088146756110444,<444>,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.30167190855012077,<234>,0.770010483766908,<456>,0.9354108337800137,<655>,0.4088146756110444,<444>,0.4088146756110444,<444>
7,-0.15939240000000002,0.00971706469259107,0.770010483766908,<564>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.7700104837669081,<123>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>
8,0.044819399999999995,0.0035885978989014643,0.13627155853701473,<344>,0.5742150256241502,<445>,0.770010483766908,<654>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<434>,-0.4088146756110446,<333>,-0.935410833780014,<212>
9,-0.003638708,0.00455871088502967,0.6046101337538021,<644>,0.13627155853701473,<443>,-0.5742150256241505,<323>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.4088146756110444,<444>
10,-0.34421848,0.11166630162161546,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.935410833780014,<212>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.5742150256241502,<445>
11,-0.44794040000000007,0.1229517496412312,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9658059419096657,<211>,-0.5742150256241505,<233>,-0.13627155853701495,<334>,0.4088146756110444,<444>
12,-0.139091792,0.16096550701632426,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372562,<223>,-0.13627155853701486,<613>,-0.13627155853701495,<334>,0.4088146756110444,<444>
13,-8.811859999999999e-10,6.686955820521024e-10,-0.05952389960574289,<441>,0.5742150256241503,<544>,0.13627155853701473,<443>,0.13627155853701473,<344>,-0.13627155853701495,<433>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.604610133753802,<446>
14,0.1116896,0.008206368492823118,0.770010483766908,<654>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.4088146756110446,<333>
15,0.039189119999999994,0.003267018669306927,0.13627155853701473,<344>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.905015725650362,<555>,0.9354108337800137,<556>,0.905015725650362,<555>,0.4088146756110444,<444>,-0.4088146756110446,<333>
16,-0.6054627999999999,0.0028786559641610612,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.9354108337800137,<655>,0.7396153756372561,<545>,0.905015725650362,<555>,0.905015725650362,<555>,0.5742150256241503,<454>
17,-1.7342088000000005e-10,1.2364585765293499e-09,-0.6046101337538022,<331>,-0.5742150256241505,<233>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.604610133753802,<446>,0.5742150256241503,<454>,0.4088146756110444,<444>,0.4088146756110444,<444>
18,0.13394999999999999,0.012070870391152412,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<556>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
19,0.035696240000000004,0.002931041293192575,-0.6046101337538022,<133>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<565>,0.7396153756372561,<554>,0.4088146756110444,<444>
20,-0.6153259999999999,0.004196002859865564,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.13627155853701495,<334>
