ComponentID:,Y
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18
1,-0.03396740454545454,0.018637864456785943,0.6046101337538021,<644>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<212>,-0.7396153756372562,<223>,-0.13627155853701495,<334>,0.4088146756110444,<444>
2,0.0014206090909090893,0.01889846775419322,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.935410833780014,<122>,-0.13627155853701495,<334>
3,-0.029571,0.027079391931554286,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<565>,0.13627155853701473,<443>
4,-0.2275390909090909,0.03457805819106189,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7700104837669081,<321>,-0.5742150256241505,<233>,0.30167190855012055,<345>
5,0.013397372727272728,0.004551278016635629,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.6046101337538021,<464>,0.7396153756372561,<455>,0.5742150256241503,<544>,0.13627155853701473,<443>,-0.4088146756110446,<333>
6,-0.010341881818181816,0.014874156449103147,0.5742150256241503,<544>,-0.7700104837669081,<321>,0.3320670166797724,<643>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>
7,-0.12564231818181817,0.030709904084078574,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.7700104837669081,<123>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>
8,-0.05036036363636364,0.07811638068873172,0.9354108337800137,<655>,0.30167190855012055,<543>,-0.5742150256241505,<332>,-0.6046101337538022,<133>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
9,0.010810872727272727,0.017635321471750478,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.905015725650362,<555>,0.9354108337800137,<556>,0.10587645040736295,<514>,0.13627155853701473,<443>,-0.4088146756110446,<333>
10,-0.39478163636363645,0.14971975913763488,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9658059419096657,<211>,-0.7396153756372562,<223>,-0.13627155853701495,<334>,0.5742150256241502,<445>
11,-0.3424140909090909,0.09622292949467497,-0.6046101337538022,<133>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.604610133753802,<446>,0.4088146756110444,<444>,0.4088146756110444,<444>
12,-0.1117702727272727,0.07387607728313544,-0.935410833780014,<212>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
13,-1.8613231363636365e-09,1.2573276829534604e-09,0.13627155853701473,<434>,0.3320670166797724,<643>,0.13627155853701473,<434>,-0.13627155853701495,<343>,-0.6046101337538022,<331>,-0.30167190855012077,<234>,0.4088146756110444,<444>
14,-0.14600802727272727,0.07765069959549731,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.935410833780014,<221>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.4088146756110444,<444>
15,0.09601099999999999,0.028139654213808797,-0.7700104837669081,<123>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.770010483766908,<654>,0.13627155853701473,<443>
16,-0.3887009090909091,0.10089529338104074,-0.30167190855012077,<243>,0.059523899605742725,<633>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<221>
17,-3.3322563636363644e-10,2.105789472094288e-09,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.6046101337538022,<133>,-0.5742150256241505,<332>,-0.4088146756110446,<333>,0.30167190855012055,<345>,0.770010483766908,<654>
18,-0.04780225909090909,0.056773998037983574,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<221>,-0.7396153756372562,<223>,-0.13627155853701495,<334>,0.5742150256241502,<445>
19,0.08423359090909091,0.008612097282623547,-0.9050157256503621,<222>,-0.7700104837669081,<123>,-0.5742150256241505,<323>,-0.5742150256241505,<233>,0.3320670166797724,<346>,0.7396153756372561,<554>,0.4088146756110444,<444>
20,-0.41061363636363635,0.08778391194215354,-0.5278624748225301,<114>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4670722585632266,<224>,0.6046101337538021,<464>
