ComponentID:,Z
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27
1,0.9981545161290323,0.0011597854048157941,0.4088146756110444,<444>,0.5742150256241502,<445>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.935410833780014,<212>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.5742150256241502,<445>
2,-0.012914916129032254,0.0020372614520314776,0.30167190855012055,<543>,-0.6046101337538022,<331>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<434>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.604610133753802,<446>,0.5742150256241503,<544>
3,0.009128955161290319,0.006799431174291581,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<655>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.13627155853701473,<443>
4,-0.0038624706451612914,0.001746354057367364,0.9354108337800137,<655>,0.5742150256241503,<544>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9658059419096657,<211>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.4088146756110444,<444>
5,-0.005428933612903226,0.006344284993449233,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.5742150256241503,<454>,0.7396153756372561,<455>,0.9354108337800137,<556>,0.770010483766908,<654>,0.4088146756110444,<444>,-0.4088146756110446,<333>
6,-0.16323503225806452,0.04089208796133635,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.935410833780014,<122>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
7,-0.002019610967741936,0.0016203359586315878,-0.6046101337538022,<133>,0.13627155853701473,<344>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241503,<454>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>,0.8004055918965598,<664>
8,-0.0010155045161290325,0.0005096242480990993,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<565>,0.30167190855012055,<543>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<212>,-0.5742150256241505,<233>,-0.7396153756372564,<322>,-0.5742150256241505,<233>
9,-0.005948741612903227,0.007822959290296692,-0.935410833780014,<122>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9658059419096657,<566>,0.7396153756372561,<554>,-0.13627155853701495,<433>,-0.4088146756110446,<333>
10,-0.2503865161290323,0.13946029070506077,0.6046101337538021,<644>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.5742150256241505,<332>,-0.9658059419096657,<121>,-0.935410833780014,<122>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>
11,2.503005568548387e-05,7.813865496236317e-05,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,0.6046101337538021,<464>
12,0.007609509677419353,0.15548924442944256,0.30167190855012066,<156>,-0.13627155853701495,<523>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
13,-4.349274516129033e-09,1.3142401152214952e-08,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.029128791476090894,<335>,0.30167190855012055,<453>,0.6046101337538021,<464>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.6046101337538022,<331>
14,-0.05211187096774193,0.0018044889856908832,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>
15,4.8956907741935476e-05,6.596215115623253e-05,0.9354108337800137,<655>,0.4088146756110444,<444>,-0.5742150256241505,<332>,-0.13627155853701495,<334>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.935410833780014,<122>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
16,-0.005556316129032259,0.0012759815715872142,-0.4088146756110446,<333>,0.6046101337538021,<644>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9658059419096657,<112>,-0.7396153756372562,<223>
17,-4.721967741935484e-08,9.254024461533015e-09,0.7396153756372561,<455>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9658059419096657,<665>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.6046101337538022,<331>
18,0.0564259677419355,0.0027424000376862156,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9354108337800137,<556>,0.7396153756372561,<554>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.5742150256241505,<332>
19,-0.0009640490322580645,0.00034487846093253277,0.9354108337800137,<655>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.6046101337538022,<331>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>
