0.047942,0.067049,0.10233,0.11684,0.14701,0.18091,0.20168,0.21024,0.21094,0.21859,0.22154,0.22419,0.22684,0.22602,0.22784,0.22968,0.23794,0.23984,0.24369,0.24669,0.24971,0.25242,0.2558,0.25448,0.25036,0.24985,0.24581,0.24278,0.24007,0.23683,0.23099,0.22058,0.20301,0.1794,0.15038,0.11642
0.96092,0.96081,0.96065,0.96044,0.96012,0.96005,0.96027,0.96075,0.96117,0.96104,0.96107,0.96105,0.96095,0.9609,0.96082,0.96078,0.96056,0.96054,0.9605,0.96043,0.96038,0.96025,0.96012,0.9601,0.9601,0.96059,0.96142,0.96185,0.96212,0.96205,0.96191,0.96167,0.96136,0.96153,0.9613,0.96107
0.93943,0.93931,0.93943,0.93828,0.93743,0.93777,0.93795,0.93726,0.93653,0.93697,0.93659,0.93637,0.93624,0.93606,0.93586,0.93592,0.93595,0.93582,0.93527,0.9354,0.93552,0.93562,0.93503,0.9343,0.9347,0.93493,0.93496,0.93561,0.93553,0.93548,0.93543,0.93539,0.93532,0.9353,0.93521,0.93513
0.99376,0.99325,0.9921,0.98952,0.98808,0.98509,0.98182,0.98093,0.98055,0.9796,0.97924,0.97971,0.98055,0.9812,0.98143,0.98152,0.98305,0.98522,0.98559,0.98611,0.98603,0.9858,0.98539,0.98485,0.98513,0.9851,0.98448,0.98423,0.98443,0.98505,0.9866,0.98747,0.98932,0.98956,0.992,0.99435
0.41867,0.41757,0.41686,0.41347,0.41267,0.41207,0.41027,0.4083,0.40888,0.40771,0.40794,0.4081,0.40821,0.40822,0.40824,0.40806,0.40811,0.40855,0.40959,0.40921,0.4088,0.40944,0.40967,0.40974,0.40973,0.4096,0.40429,0.40852,0.40855,0.40776,0.40817,0.40488,0.40386,0.40425,0.40578,0.40737
0.93821,0.93643,0.93687,0.93632,0.9354,0.93478,0.93426,0.934,0.93384,0.93381,0.93371,0.93329,0.93352,0.93315,0.9331,0.9332,0.93315,0.93267,0.93175,0.93188,0.93198,0.93193,0.93209,0.93217,0.93212,0.9324,0.93541,0.93713,0.93926,0.93896,0.93862,0.93797,0.9374,0.93813,0.93897,0.93943
0.9951,0.99506,0.99525,0.99667,0.99794,0.9985,0.99876,0.99899,0.99883,0.99826,0.9976,0.99717,0.99705,0.99681,0.99673,0.99685,0.99677,0.99611,0.99648,0.99609,0.99621,0.99624,0.99596,0.99564,0.99553,0.99564,0.9957,0.9959,0.99607,0.99613,0.99605,0.9957,0.99558,0.99537,0.99554,0.99582
0.99969,0.99975,0.99981,0.99973,0.99958,0.9995,0.99938,0.99945,0.99959,0.99974,0.99989,0.99996,0.99998,0.99984,0.99958,0.99918,0.99871,0.99859,0.99866,0.99849,0.99829,0.99819,0.99794,0.99797,0.99777,0.99765,0.99759,0.99759,0.99756,0.99753,0.99749,0.99744,0.99728,0.99747,0.99763,0.99779
-0.4056,-0.39487,-0.3834,-0.38055,-0.38157,-0.38066,-0.381,-0.38103,-0.38105,-0.38144,-0.38274,-0.38366,-0.38542,-0.3853,-0.38671,-0.38622,-0.38725,-0.38871,-0.39047,-0.38972,-0.39053,-0.39047,-0.39019,-0.39035,-0.39028,-0.39079,-0.39099,-0.3906,-0.39041,-0.39005,-0.38973,-0.38995,-0.39066,-0.39313,-0.40042,-0.39921
0.96224,0.95287,0.94831,0.9409,0.92805,0.9165,0.89841,0.89684,0.88787,0.87632,0.86618,0.86242,0.85978,0.85701,0.85228,0.85225,0.84937,0.8468,0.8452,0.84382,0.84191,0.83923,0.84,0.83971,0.84681,0.86513,0.89938,0.91128,0.93434,0.94283,0.956,0.96016,0.96156,0.95944,0.95374,0.9614
0.84143,0.83476,0.84232,0.86243,0.88215,0.89532,0.90813,0.91971,0.93198,0.9372,0.94391,0.94604,0.94762,0.9485,0.94946,0.95066,0.9519,0.95277,0.95339,0.95459,0.95621,0.95735,0.95856,0.95904,0.95843,0.95723,0.94692,0.93343,0.92584,0.92282,0.92385,0.92644,0.93426,0.94392,0.95435,0.96612
0.98246,0.98203,0.98274,0.98855,0.98994,0.99036,0.98556,0.97928,0.99067,0.99342,0.99331,0.99307,0.99255,0.992,0.99438,0.99564,0.99419,0.99155,0.98859,0.98782,0.98896,0.98917,0.98829,0.98817,0.99005,0.98945,0.99179,0.99345,0.99323,0.9913,0.98795,0.98474,0.98593,0.99091,0.99267,0.99402
