ComponentID:,W
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30,avgQ_33,winQ_33,avgQ_36,winQ_36,avgQ_39,winQ_39
1,-0.0073396986363636375,0.008173653085084526,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.770010483766908,<456>,0.905015725650362,<555>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.9050157256503621,<222>
2,-0.007080454545454546,0.011163579465192208,0.905015725650362,<555>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>
3,-0.001249300840909091,0.0011733435527299546,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.770010483766908,<465>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.13627155853701473,<443>
4,-0.012833720454545451,0.016922212810205995,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.9354108337800137,<556>,0.905015725650362,<555>,0.905015725650362,<555>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.6046101337538022,<331>
5,0.8786995454545454,0.013741611814046172,0.905015725650362,<555>,0.9962010500393174,<666>,0.9354108337800137,<655>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.9658059419096657,<112>,-0.7396153756372562,<223>,-0.4088146756110446,<333>
6,0.3796802272727271,0.015861096701827112,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.7700104837669081,<123>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<556>,0.905015725650362,<555>,0.905015725650362,<555>,0.4088146756110444,<444>,-0.13627155853701495,<433>
7,0.000894948161363636,0.0015816971748464233,-0.13627155853701495,<334>,0.770010483766908,<465>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9962010500393174,<111>,-0.9962010500393174,<111>
8,0.14067179545454545,0.041896354657860777,0.6046101337538021,<464>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.7700104837669081,<123>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
9,-0.03777704545454548,0.8680390979584115,-0.9962010500393174,<111>,-0.9962010500393174,<111>,-0.9962010500393174,<111>,0.9354108337800137,<655>,-0.30167190855012077,<522>,-0.30167190855012077,<225>,0.30167190855012055,<552>,-0.9050157256503621,<222>,0.30167190855012055,<255>,0.30167190855012055,<552>,-0.9050157256503621,<222>,0.30167190855012055,<255>,0.905015725650362,<555>,0.905015725650362,<555>
10,-0.3735438636363636,0.04276328088314198,0.13627155853701473,<434>,0.4088146756110444,<444>,0.9354108337800137,<556>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.13627155853701473,<434>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.6046101337538022,<133>,0.4088146756110444,<444>
11,-0.0013797119490000002,0.003154642411911492,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.905015725650362,<555>,0.905015725650362,<555>,0.9354108337800137,<556>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>
12,0.10519077272727273,0.2570266003067903,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,-0.13627155853701495,<433>,0.3320670166797724,<634>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,-0.33206701667977256,<512>,-0.13627155853701495,<334>,-0.4088146756110446,<333>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
13,0.9213884090909095,0.0020393447512529186,0.9658059419096657,<566>,0.905015725650362,<555>,0.7396153756372561,<554>,0.13627155853701473,<443>,-0.13627155853701495,<433>,-0.5742150256241505,<323>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
