ComponentID:,W
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24
1,0.011478326428571427,0.012150740452975406,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.30167190855012077,<432>,-0.935410833780014,<212>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.9354108337800137,<565>,0.5742150256241503,<544>
2,-0.014418989285714284,0.019848670747295096,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.33206701667977256,<134>,0.9354108337800137,<565>,0.5742150256241503,<544>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
3,0.008057801785714285,0.004909125006175492,-0.6046101337538022,<133>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<565>,0.5742150256241503,<544>,0.13627155853701473,<443>,-0.4088146756110446,<333>
4,0.08179688142857144,0.05344662412788132,-0.935410833780014,<122>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<655>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.13627155853701495,<433>
5,0.9010221428571429,0.006719344332991574,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.3320670166797724,<643>,-0.935410833780014,<221>,-0.33206701667977256,<134>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
6,0.3506660714285714,0.01192387620918805,0.5742150256241502,<445>,0.9354108337800137,<556>,0.30167190855012055,<543>,-0.6046101337538022,<133>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.7396153756372562,<223>,0.13627155853701473,<344>,0.4088146756110444,<444>
7,0.021086946428571424,0.016769747825974395,0.905015725650362,<555>,0.6046101337538021,<644>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<221>,-0.4088146756110446,<333>
8,-0.046832685357142856,0.049325778676322006,0.905015725650362,<555>,0.9354108337800137,<565>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.5742150256241505,<233>,-0.5742150256241505,<332>,-0.7700104837669081,<321>,-0.4088146756110446,<333>,0.13627155853701473,<344>
9,0.9329371428571428,0.01446183347819427,-0.6046101337538022,<133>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.770010483766908,<456>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>
10,0.07376448214285714,0.17967083928273442,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9658059419096657,<566>,0.9354108337800137,<655>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.7396153756372564,<322>
11,-0.0014722240857142858,0.0024547604214309768,0.7396153756372561,<455>,0.905015725650362,<555>,0.905015725650362,<555>,0.9354108337800137,<556>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,-0.4088146756110446,<333>,-0.4974673666928784,<124>
12,0.04236502142857142,0.2579660252952818,-0.13627155853701486,<163>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.30167190855012055,<345>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>
13,0.9133878571428572,0.004975419118844489,0.770010483766908,<654>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.6046101337538022,<331>,-0.4088146756110446,<333>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>
14,0.35900392857142854,0.028036995882900064,-0.935410833780014,<212>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.770010483766908,<564>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9050157256503621,<222>
15,-0.01717265142857143,0.007762947476131506,0.9354108337800137,<655>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<122>,-0.5742150256241505,<233>
16,-0.0022620182142857126,0.008324300864705033,-0.6046101337538022,<313>,-0.4088146756110446,<333>,-0.5742150256241505,<323>,-0.5742150256241505,<233>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>
17,0.9163071428571428,0.010700627771017811,0.9962010500393174,<666>,0.905015725650362,<555>,0.905015725650362,<555>,0.30167190855012055,<543>,-0.7700104837669081,<213>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
18,-0.33772964285714296,0.012398103680500866,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.7700104837669081,<312>,0.13627155853701473,<344>,0.9354108337800137,<556>,0.7396153756372561,<554>,0.4088146756110444,<444>
19,-0.027350307142857137,0.024258530384013204,0.770010483766908,<564>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7700104837669081,<321>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.13627155853701473,<344>
20,-0.03732296428571429,0.012068995781642144,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<212>,-0.30167190855012077,<234>,0.5742150256241503,<454>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
